Comparison,stat,p_value,p_value_bonferroni,significant
No Sound vs D&E,307.0,7.610625909828224e-06,7.610625909828224e-05,True
No Sound vs C&E,188.0,8.704252796308214e-08,8.704252796308214e-07,True
No Sound vs C&L,529.0,0.004489076235714239,0.044890762357142386,True
No Sound vs D&L,540.0,0.00576950931047058,0.057695093104705795,False
D&E vs C&E,792.0,0.3652126497063902,1.0,False
D&E vs C&L,497.0,0.0020899006722749787,0.02089900672274979,True
D&E vs D&L,579.0,0.013379732514095138,0.13379732514095138,False
C&E vs C&L,402.0,0.0001590460661735875,0.001590460661735875,True
C&E vs D&L,371.0,6.209307495941354e-05,0.0006209307495941355,True
C&L vs D&L,900.0,0.9120730845618369,1.0,False
