0	1	2	3
target place:0	result coordinate:(0.23	 0.02	 -0.05)
target place:0	result coordinate:(0.22	 0.02	 -0.06)
target place:0	result coordinate:(0.21	 0.03	 -0.04)
target place:0	result coordinate:(0.22	 0.02	 -0.04)
target place:0	result coordinate:(0.23	 0.03	 -0.04)
target place:0	result coordinate:(0.24	 0.03	 -0.04)
target place:0	result coordinate:(0.22	 0.03	 -0.02)
target place:2	result coordinate:(0.27	 0.02	 -0.01)
target place:6	result coordinate:(0.21	 -0.03	 0.00)
target place:2	result coordinate:(0.25	 0.03	 0.00)
target place:6	result coordinate:(0.21	 -0.02	 -0.01)
target place:6	result coordinate:(0.21	 -0.02	 -0.01)
target place:6	result coordinate:(0.20	 -0.02	 0.00)
target place:6	result coordinate:(0.20	 -0.02	 -0.01)
target place:6	result coordinate:(0.20	 -0.03	 0.00)
target place:6	result coordinate:(0.20	 -0.03	 -0.01)
target place:6	result coordinate:(0.20	 -0.02	 -0.02)
target place:6	result coordinate:(0.20	 -0.02	 -0.01)
target place:6	result coordinate:(0.21	 -0.02	 0.01)
target place:6	result coordinate:(0.21	 -0.03	 0.01)
target place:6	result coordinate:(0.20	 -0.03	 -0.01)
target place:6	result coordinate:(0.20	 -0.03	 -0.01)
target place:6	result coordinate:(0.21	 -0.03	 0.02)
target place:6	result coordinate:(0.20	 -0.02	 0.00)
target place:6	result coordinate:(0.21	 -0.02	 0.00)
target place:6	result coordinate:(0.21	 -0.02	 0.00)
target place:6	result coordinate:(0.21	 -0.02	 0.00)
target place:6	result coordinate:(0.21	 -0.02	 0.00)
target place:6	result coordinate:(0.21	 -0.02	 0.00)
target place:6	result coordinate:(0.21	 -0.02	 -0.01)
target place:6	result coordinate:(0.21	 -0.02	 -0.01)
target place:0	result coordinate:(0.19	 0.02	 0.00)
target place:0	result coordinate:(0.19	 0.02	 -0.01)
target place:0	result coordinate:(0.19	 0.02	 -0.01)
target place:0	result coordinate:(0.19	 0.02	 -0.01)
target place:0	result coordinate:(0.20	 0.02	 -0.01)
target place:0	result coordinate:(0.20	 0.03	 -0.01)
target place:0	result coordinate:(0.19	 0.02	 -0.01)
target place:0	result coordinate:(0.19	 0.02	 -0.01)
target place:0	result coordinate:(0.19	 0.02	 -0.01)
target place:0	result coordinate:(0.20	 0.03	 -0.01)
target place:0	result coordinate:(0.20	 0.02	 0.00)
target place:0	result coordinate:(0.21	 0.02	 0.00)
target place:0	result coordinate:(0.21	 0.02	 0.01)
target place:0	result coordinate:(0.21	 0.03	 0.00)
target place:8	result coordinate:(0.30	 -0.02	 0.00)
target place:8	result coordinate:(0.28	 -0.02	 0.00)
target place:0	result coordinate:(0.22	 0.02	 -0.01)
target place:2	result coordinate:(0.25	 0.02	 -0.01)
target place:2	result coordinate:(0.26	 0.02	 0.00)
target place:8	result coordinate:(0.28	 -0.02	 0.03)
target place:8	result coordinate:(0.27	 -0.03	 0.02)
target place:6	result coordinate:(0.21	 -0.02	 0.00)
target place:2	result coordinate:(0.24	 0.03	 0.00)
target place:2	result coordinate:(0.24	 0.02	 0.00)
target place:2	result coordinate:(0.22	 0.03	 0.06)
target place:2	result coordinate:(0.26	 0.02	 0.00)
target place:8	result coordinate:(0.26	 -0.03	 0.02)
