Experiment,Metric,Condition,W-Statistic,p-Value
実験1,Dizziness,音あり,0.8888647583428987,0.19422918503478193
実験1,Dizziness,音無し,0.6581879274207829,0.0004603060397453352
実験1,Target Difficulty,音あり,0.8248932294909194,0.03912692023280594
実験1,Target Difficulty,音無し,0.8728217216530878,0.13179765364952323
実験1,Object Distinction Difficulty,音あり,0.8254906637937588,0.03973752633371646
実験1,Object Distinction Difficulty,音無し,0.901252694625118,0.2593475580924971
実験1,Mental Strain,音あり,0.7853095289410416,0.01386176049109568
実験1,Mental Strain,音無し,0.8647304932039763,0.10790327327751947
実験1,Fun Experience,音あり,0.9130673644491698,0.33793734347184123
実験1,Fun Experience,音無し,0.9313584521267969,0.49438754803090407
実験2,Dizziness,音あり,0.636923959044145,0.00025936100732242636
実験2,Dizziness,音無し,0.636923959044145,0.00025936100732242636
実験2,Target Difficulty,音あり,0.8157723275773007,0.030865437761507245
実験2,Target Difficulty,音無し,0.9329514378984864,0.509946375831313
実験2,Object Distinction Difficulty,音あり,0.8506081445768201,0.07567864075663691
実験2,Object Distinction Difficulty,音無し,0.865507952266698,0.1100095173087926
実験2,Mental Strain,音あり,0.9165480327676881,0.36442735256241665
実験2,Mental Strain,音無し,0.900553165360257,0.2552210970864808
実験2,Fun Experience,音あり,0.8125923721719817,0.02840696524516437
実験2,Fun Experience,音無し,0.8715151927772186,0.15595213116206935
実験3,Dizziness,音あり,0.6172777564279643,0.00015259147070217506
実験3,Dizziness,音無し,0.8054032333592883,0.02353408164027636
実験3,Target Difficulty,音あり,0.8567099265230412,0.08828369713462778
実験3,Target Difficulty,音無し,0.8805304187612258,0.1590496008880029
実験3,Object Distinction Difficulty,音あり,0.7805258317523254,0.012213137284604764
実験3,Object Distinction Difficulty,音無し,0.8627746335049258,0.10277111348293222
実験3,Mental Strain,音あり,0.9510129482952023,0.7011885616780513
実験3,Mental Strain,音無し,0.9713501264292942,0.90602321138975
実験3,Fun Experience,音あり,0.9204608381249005,0.39606881787028747
実験3,Fun Experience,音無し,0.9313584521267969,0.49438754803090407
