Experiment,Metric,Condition,W-Statistic,p-Value
実験1,Dizziness,Sound,0.8634115176739827,0.0637484856724113
実験1,Dizziness,No Sound,0.7338574730087146,0.0012811914673114717
実験1,Target Difficulty,Sound,0.9169453289095423,0.2940135090763065
実験1,Target Difficulty,No Sound,0.8769203483606817,0.09506800678891993
実験1,Object Distinction Difficulty,Sound,0.8125155365705018,0.013746997818555456
実験1,Object Distinction Difficulty,No Sound,0.9230437221417342,0.3448114362615368
実験1,Mental Strain,Sound,0.7841954232290175,0.005829228546079256
実験1,Mental Strain,No Sound,0.8429100392735543,0.034477605851534386
実験1,Fun Experience,Sound,0.9057793758296679,0.21719361141719856
実験1,Fun Experience,No Sound,0.9047776610993502,0.21124889223578935
実験2,Dizziness,Sound,0.5736948772710511,1.2005811236132556e-05
実験2,Dizziness,No Sound,0.5736948772710511,1.2005811236132556e-05
実験2,Target Difficulty,Sound,0.85538154065779,0.05015439889351976
実験2,Target Difficulty,No Sound,0.9449624591611042,0.5804633369564194
実験2,Object Distinction Difficulty,Sound,0.8632918361416488,0.06352169295754165
実験2,Object Distinction Difficulty,No Sound,0.8195614169511073,0.01701932161448591
実験2,Mental Strain,Sound,0.8890275919382611,0.13522943360187129
実験2,Mental Strain,No Sound,0.9250357689886869,0.3628359028774131
実験2,Fun Experience,Sound,0.8255016640792766,0.02037417421820495
実験2,Fun Experience,No Sound,0.87842491368869,0.09935770387820068
実験3,Dizziness,Sound,0.5724058622066281,1.1574327323944895e-05
実験3,Dizziness,No Sound,0.7561282445559034,0.002499084042757033
実験3,Target Difficulty,Sound,0.8559119076555889,0.050957326049532986
実験3,Target Difficulty,No Sound,0.8979963572702689,0.17469758399324092
実験3,Object Distinction Difficulty,Sound,0.7584833243691838,0.0026826346214516602
実験3,Object Distinction Difficulty,No Sound,0.882169872537173,0.1108506650714613
実験3,Mental Strain,Sound,0.9288309894435768,0.399148924895451
実験3,Mental Strain,No Sound,0.9248518732059532,0.36114211935924245
実験3,Fun Experience,Sound,0.9397688389028231,0.5177843848891835
実験3,Fun Experience,No Sound,0.9329247208278411,0.4411922580850574
