Place	Method	Sum_Squared_Error	Method_Label
0	-1	3.936234653043185	Dense
1	-1	3.7074404735481417	Dense
2	-1	5.122890665412232	Dense
3	-1	4.480842278425156	Dense
4	-1	3.5482294127133933	Dense
5	-1	5.699123613689233	Dense
6	-1	4.996090605878361	Dense
7	-1	4.622864636941147	Dense
8	-1	4.654414878330291	Dense
9	-1	4.519678074224867	Dense
10	-1	5.160771649115949	Dense
11	-1	4.685598997508869	Dense
12	-1	6.027840083164119	Dense
13	-1	3.600566821956232	Dense
14	-1	3.71746650083767	Dense
15	-1	3.559651108171233	Dense
16	-1	4.501562712921681	Dense
17	-1	3.9675983550280143	Dense
18	-1	5.419354821442216	Dense
19	-1	8.534558690423365	Dense
20	-1	6.086704544493349	Dense
21	-1	5.045135787357607	Dense
22	-1	6.408016715629429	Dense
23	-1	5.197354759914889	Dense
24	-1	5.497011782163197	Dense
25	-1	5.129742654416054	Dense
26	-1	5.57565722145199	Dense
0	0	2.8597366716388417	Sparse
1	0	8.825336015520389	Sparse
2	0	8.71507222486429	Sparse
3	0	4.206964168637284	Sparse
4	0	3.5555987796686304	Sparse
5	0	7.332732229036164	Sparse
6	0	3.514506611349847	Sparse
7	0	2.608300818699801	Sparse
8	0	3.5672542781668932	Sparse
9	0	10.467929342375408	Sparse
10	0	8.770088061895388	Sparse
11	0	7.564217226886402	Sparse
12	0	6.367826033451763	Sparse
13	0	10.292402621168877	Sparse
14	0	3.4741678965585	Sparse
15	0	5.509498530840012	Sparse
16	0	3.5943169900566656	Sparse
17	0	8.258349997132381	Sparse
18	0	11.595858023696046	Sparse
19	0	5.014850427189427	Sparse
20	0	2.5791359575678534	Sparse
21	0	6.217598932322753	Sparse
22	0	6.114039746556167	Sparse
23	0	2.146958911490684	Sparse
24	0	13.797740454585453	Sparse
25	0	9.408830773018039	Sparse
26	0	9.23878499371297	Sparse
0	1	6.663469012591769	NoSound
1	1	8.641876573268299	NoSound
2	1	12.172975890805501	NoSound
3	1	11.073851614440983	NoSound
4	1	9.936697825594962	NoSound
5	1	9.194600165695467	NoSound
6	1	7.131394874284062	NoSound
7	1	7.963918923884413	NoSound
8	1	8.867607454531097	NoSound
9	1	9.407001890698641	NoSound
10	1	11.648994297225896	NoSound
11	1	10.267618309798042	NoSound
12	1	10.048806269222617	NoSound
13	1	8.736330003357404	NoSound
14	1	10.033769335679638	NoSound
15	1	12.274864608753083	NoSound
16	1	6.941424014179541	NoSound
17	1	11.355136970701851	NoSound
18	1	11.813841515796744	NoSound
19	1	13.749391453578895	NoSound
20	1	11.580219041373962	NoSound
21	1	14.274648250736142	NoSound
22	1	8.570346638344127	NoSound
23	1	8.722171209234126	NoSound
24	1	12.792165779097914	NoSound
25	1	8.350548136500322	NoSound
26	1	10.5633666651052	NoSound
